               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.036194,            0.019003,                   0,             0.68983,             0.92308,             0.84692,              0.5051,            0.041459,             0.01752,                   0,           0.0053633,           0.0053633,           0.0053633
                  39,            0.040975,            0.018079,                   0,             0.82194,             0.92308,             0.95855,             0.49944,            0.031259,            0.016915,                   0,            0.005238,            0.005238,            0.005238
                  40,            0.036572,            0.019123,                   0,             0.74826,             0.92308,             0.91914,             0.60048,              0.0328,            0.017328,                   0,           0.0051127,           0.0051127,           0.0051127
                  41,            0.039211,            0.020212,                   0,             0.89069,             0.94058,             0.98511,             0.59081,            0.029441,            0.016425,                   0,           0.0049873,           0.0049873,           0.0049873
                  42,            0.035389,            0.020666,                   0,             0.85542,                   1,             0.98616,             0.57402,            0.032177,            0.017131,                   0,            0.004862,            0.004862,            0.004862
                  43,            0.035733,             0.01833,                   0,             0.94917,                   1,               0.995,             0.63771,            0.028516,            0.016145,                   0,           0.0047367,           0.0047367,           0.0047367
                  44,            0.034899,            0.019205,                   0,             0.88777,               0.913,             0.97126,             0.61379,            0.032628,             0.01719,                   0,           0.0046114,           0.0046114,           0.0046114
                  45,            0.038602,            0.018035,                   0,             0.99168,                   1,               0.995,              0.6373,            0.026516,            0.016049,                   0,           0.0044861,           0.0044861,           0.0044861
                  46,            0.029888,            0.016594,                   0,             0.70265,             0.92308,             0.84775,             0.56972,            0.033103,            0.016417,                   0,           0.0043608,           0.0043608,           0.0043608
                  47,            0.037282,            0.017832,                   0,             0.96059,                   1,             0.99241,             0.61054,            0.028992,            0.015492,                   0,           0.0042354,           0.0042354,           0.0042354
                  48,             0.03131,            0.018319,                   0,             0.98315,             0.96154,             0.99286,             0.67167,            0.026665,             0.01542,                   0,           0.0041101,           0.0041101,           0.0041101
                  49,            0.034264,            0.017224,                   0,             0.99776,                   1,               0.995,             0.68585,             0.02603,            0.014926,                   0,           0.0039848,           0.0039848,           0.0039848
                  50,            0.031002,            0.016673,                   0,             0.99716,                   1,               0.995,             0.66439,            0.027244,            0.015578,                   0,           0.0038595,           0.0038595,           0.0038595
                  51,              0.0312,            0.016196,                   0,             0.99742,                   1,               0.995,             0.66397,            0.024525,            0.014738,                   0,           0.0037342,           0.0037342,           0.0037342
                  52,            0.029691,            0.016884,                   0,             0.99679,                   1,               0.995,              0.7193,            0.024657,            0.015031,                   0,           0.0036089,           0.0036089,           0.0036089
                  53,            0.030646,            0.017967,                   0,             0.99729,                   1,               0.995,             0.65718,            0.023719,            0.014319,                   0,           0.0034835,           0.0034835,           0.0034835
                  54,            0.028476,            0.017238,                   0,             0.99702,                   1,               0.995,             0.74888,            0.023313,            0.014607,                   0,           0.0033582,           0.0033582,           0.0033582
                  55,            0.029323,            0.015961,                   0,             0.99714,                   1,               0.995,             0.71169,            0.022568,            0.014246,                   0,           0.0032329,           0.0032329,           0.0032329
                  56,            0.026731,            0.017546,                   0,             0.99561,                   1,               0.995,             0.68964,            0.024404,            0.014743,                   0,           0.0031076,           0.0031076,           0.0031076
                  57,              0.0292,            0.019027,                   0,             0.99703,                   1,               0.995,             0.74805,            0.019914,            0.013983,                   0,           0.0029823,           0.0029823,           0.0029823
                  58,            0.026731,            0.016875,                   0,             0.95533,                   1,             0.99241,             0.67492,            0.025209,            0.014449,                   0,            0.002857,            0.002857,            0.002857
                  59,            0.027487,            0.016094,                   0,             0.99715,                   1,               0.995,             0.78135,            0.019307,            0.013829,                   0,           0.0027316,           0.0027316,           0.0027316
                  60,            0.025391,            0.016503,                   0,             0.99734,                   1,               0.995,             0.75189,            0.023412,            0.014314,                   0,           0.0026063,           0.0026063,           0.0026063
                  61,            0.026584,            0.016209,                   0,             0.99722,                   1,               0.995,             0.74783,            0.019728,            0.014014,                   0,            0.002481,            0.002481,            0.002481
                  62,            0.027281,             0.01634,                   0,             0.99708,                   1,               0.995,             0.71332,            0.022117,            0.014298,                   0,           0.0023557,           0.0023557,           0.0023557
                  63,            0.026369,            0.015284,                   0,             0.99742,                   1,               0.995,             0.75945,            0.018745,            0.013837,                   0,           0.0022304,           0.0022304,           0.0022304
                  64,            0.024483,            0.017441,                   0,             0.99759,                   1,               0.995,             0.73086,            0.020312,            0.014073,                   0,           0.0021051,           0.0021051,           0.0021051
                  65,            0.027789,            0.015956,                   0,             0.99763,                   1,               0.995,             0.75615,            0.018262,            0.013784,                   0,           0.0019797,           0.0019797,           0.0019797
                  66,            0.022707,            0.014252,                   0,             0.99762,                   1,               0.995,             0.75902,            0.019985,            0.013923,                   0,           0.0018544,           0.0018544,           0.0018544
                  67,            0.023321,            0.014212,                   0,             0.99782,                   1,               0.995,             0.78158,            0.018197,            0.013804,                   0,           0.0017291,           0.0017291,           0.0017291
                  68,            0.021923,            0.016996,                   0,             0.99811,                   1,               0.995,             0.74811,            0.018912,            0.013957,                   0,           0.0016038,           0.0016038,           0.0016038
                  69,            0.023241,            0.013995,                   0,             0.99834,                   1,               0.995,             0.78743,            0.017731,            0.013895,                   0,           0.0014785,           0.0014785,           0.0014785
                  70,            0.022431,            0.012892,                   0,             0.99847,                   1,               0.995,             0.77954,            0.018854,            0.013956,                   0,           0.0013532,           0.0013532,           0.0013532
                  71,            0.022703,            0.015466,                   0,             0.99852,                   1,               0.995,             0.79495,            0.017951,            0.013742,                   0,           0.0012278,           0.0012278,           0.0012278
                  72,            0.021504,            0.015753,                   0,             0.99851,                   1,               0.995,             0.77595,            0.018062,            0.013722,                   0,           0.0011025,           0.0011025,           0.0011025
                  73,            0.021891,             0.01357,                   0,             0.99843,                   1,               0.995,             0.78628,            0.017876,            0.013687,                   0,          0.00097722,          0.00097722,          0.00097722
                  74,            0.021192,             0.01365,                   0,             0.99861,                   1,               0.995,             0.79516,            0.017493,            0.013624,                   0,           0.0008519,           0.0008519,           0.0008519
                  75,            0.020823,            0.013526,                   0,             0.99881,                   1,               0.995,             0.78754,            0.017467,            0.013515,                   0,          0.00072658,          0.00072658,          0.00072658
                  76,            0.022277,            0.017095,                   0,             0.99868,                   1,               0.995,             0.79026,            0.017173,            0.013479,                   0,          0.00060127,          0.00060127,          0.00060127
                  77,            0.021348,            0.016194,                   0,             0.99861,                   1,               0.995,             0.79124,            0.016985,            0.013442,                   0,          0.00047595,          0.00047595,          0.00047595
                  78,            0.021693,            0.014433,                   0,             0.99858,                   1,               0.995,             0.78973,            0.016916,            0.013452,                   0,          0.00035063,          0.00035063,          0.00035063
